L0_srq,L1_srq,L2_srq,L3_srq,L4_srq,L5_srq,word,field
0.09713384176886403,0.06139108525402192,0.05825836533401926,0.06508087397579289,0.07838264297032183,0.07273288938191882,screw,TOOL
0.08349329236021497,0.06430960851477066,0.061943113704222556,0.06223923708299798,0.0751111343700971,0.06740995956830667,nail,TOOL
0.07565662853035172,0.05698963320373162,0.059801876866533925,0.06388891471750131,0.08435659595044807,0.07492699325947501,bolt,TOOL
0.09445846825828642,0.0608535930513727,0.06000620126718242,0.07180006802074881,0.0729395896195636,0.07377852499477637,knife,TOOL
0.08102160774880612,0.05784399228901122,0.05735125949332003,0.06518334799401869,0.06998815119683256,0.07728063531606742,blade,TOOL
0.08818144131779444,0.060476090638344054,0.059931021030546164,0.07168655524762586,0.08193105947552233,0.07429147209466849,hook,TOOL
0.08044126629821362,0.06856486201279459,0.06269925832742143,0.07071320712559304,0.07998324185601818,0.07791500538579778,forge,TOOL
0.08694245957633617,0.063084848294773,0.05358697367745926,0.06724797245829205,0.08029078159214355,0.07480419573826412,wheel,TOOL
0.08420644214221666,0.06218901272874964,0.05472796317666818,0.06557147986542342,0.08232119170671716,0.07747004359595701,axle,TOOL
0.0935531854628581,0.05996157228940689,0.06009022891515444,0.06005584821098997,0.08240932226172788,0.08038271963588305,lever,TOOL
0.08420644214221666,0.06218901272874964,0.05472796317666818,0.06557147986542342,0.08232119170671716,0.07747004359595701,axle,TOOL
0.09110265566133159,0.06012282864717535,0.061096422206867895,0.05975611475176972,0.06861528082069221,0.07304834700199773,gear,TOOL
0.08921481242347527,0.0589459906751509,0.05371703475315382,0.057154267389033786,0.08041177903546148,0.07475533482488486,spring,TOOL
0.07830096036187924,0.0590639412402516,0.06375242769711795,0.07116746902458702,0.08219846338025455,0.07110636681311172,joint,TOOL
0.08150150626889661,0.0607915036379683,0.06621333211653763,0.06099589541548351,0.07449979335062205,0.07074314355843145,vice,TOOL
0.08818144131779444,0.060476090638344054,0.059931021030546164,0.07168655524762586,0.08193105947552233,0.07429147209466849,hook,TOOL
0.08767600802460389,0.0625678747810841,0.05247336000516412,0.06070860124121779,0.07898283553320191,0.08022947398064767,red,COLOUR
0.08162250111229014,0.05931329335643639,0.049905910337273665,0.06088100364088906,0.08670680741699652,0.07286233144170695,blue,COLOUR
0.08189184963694966,0.05518294125789846,0.05549215525383168,0.06391000747674272,0.07826931774608414,0.0758993551134304,green,COLOUR
0.0843143288117604,0.053857346164250613,0.04932015173786098,0.06213871021399122,0.09138517482448322,0.07510328887654318,yellow,COLOUR
0.08715891612514579,0.0656934270675376,0.057218543870305054,0.06324820597452789,0.0847374847374,0.07748252615220703,purple,COLOUR
0.07921595871440594,0.05627501010889147,0.05679296702140851,0.05896147340530221,0.08377744257441726,0.0808354020117905,orange,COLOUR
0.08233599364749304,0.06069536134594569,0.061347361653981844,0.06574160605662446,0.07728662341825385,0.06868900358670041,pink,COLOUR
